1
13
14
15
16
17
18
2
3
4
5
6
7
8
9
('1','14','15','3')
('1','14','15','4')
('1','14','15','5')
('1','14','15','6')
('1','14','15','7')
('1','14','16','2')
('1','14','16','3')
('1','14','16','4')
('1','14','16','5')
('1','14','17','2')
('1','14','17','3')
('1','14','17','4')
('1','14','2','3')
('1','14','2','4')
('1','14','2','5')
('1','14','2','6')
('1','14','2','7')
('1','14','2','8')
('1','14','3','4')
('1','14','3','5')
('1','14','3','6')
('1','14','3','7')
('1','14','3','8')
('1','14','4','5')
('1','14','4','6')
('1','14','4','7')
('1','14','5','6')
('1','14','5','7')
('1','15','16','2')
('1','15','16','3')
('1','15','16','4')
('1','15','17','2')
('1','15','2','3')
('1','15','2','4')
('1','15','2','5')
('1','15','2','6')
('1','15','2','7')
('1','15','3','4')
('1','15','3','5')
('1','15','3','6')
('1','15','3','7')
('1','15','4','5')
('1','15','4','6')
('1','16','2','3')
('1','16','2','4')
('1','16','2','5')
('1','16','2','6')
('1','16','3','4')
('1','16','3','5')
('1','17','2','3')
('1','17','2','4')
('1','2','3','4')
('1','2','3','5')
('1','2','3','6')
('1','2','3','7')
('1','2','3','8')
('1','2','4','5')
('1','2','4','6')
('1','2','4','7')
('1','2','5','6')
('1','2','5','7')
('1','3','4','5')
('1','3','4','6')
('1','3','4','7')
('1','3','5','6')
('1','4','5','6')
('14','15','16','2')
('14','15','2','3')
('14','15','2','4')
('14','15','2','5')
('14','15','2','6')
('14','15','3','4')
('14','15','3','5')
('14','15','3','6')
('14','15','4','5')
('14','16','2','3')
('14','16','2','4')
('14','16','2','5')
('14','16','3','4')
('14','17','2','3')
('14','2','3','4')
('14','2','3','5')
('14','2','3','6')
('14','2','3','7')
('14','2','4','5')
('14','2','4','6')
('14','2','4','7')
('14','2','5','6')
('14','3','4','5')
('14','3','4','6')
('14','3','5','6')
('15','16','2','3')
('15','2','3','4')
('15','2','3','5')
('15','2','3','6')
('15','2','4','5')
('15','2','4','6')
('15','3','4','5')
('16','2','3','4')
('2','3','4','5')
('2','3','4','6')
('2','3','4','7')
('2','3','5','6')
('1','14','15','16','2')
('1','14','15','2','3')
('1','14','15','2','4')
('1','14','15','2','5')
('1','14','15','2','6')
('1','14','15','3','4')
('1','14','15','3','5')
('1','14','15','3','6')
('1','14','15','4','5')
('1','14','16','2','3')
('1','14','16','2','4')
('1','14','16','2','5')
('1','14','16','3','4')
('1','14','17','2','3')
('1','14','2','3','4')
('1','14','2','3','5')
('1','14','2','3','6')
('1','14','2','3','7')
('1','14','2','4','5')
('1','14','2','4','6')
('1','14','2','4','7')
('1','14','2','5','6')
('1','14','3','4','5')
('1','14','3','4','6')
('1','14','3','5','6')
('1','15','16','2','3')
('1','15','2','3','4')
('1','15','2','3','5')
('1','15','2','3','6')
('1','15','2','4','5')
('1','15','2','4','6')
('1','15','3','4','5')
('1','16','2','3','4')
('1','2','3','4','5')
('1','2','3','4','6')
('1','2','3','4','7')
('1','2','3','5','6')
('14','15','2','3','4')
('14','15','2','3','5')
('14','15','2','4','5')
('14','2','3','4','5')
('14','2','3','4','6')
('1','14','15','2','3','4')
('1','14','15','2','3','5')
('1','14','15','2','4','5')
('1','14','2','3','4','5')
('1','14','2','3','4','6')
